Purpose of Tax Rate,Utilities,Farm
Municipal,40.00000,2.66649
Reg'l District,5.15295,2.28176
Hospital,2.49332,0.71238
School,15.00000,6.80000
Other,0.54290,0.10590
Total,63.18917,12.56653
Municipal,39.99970,12.61072
Reg'l District,0.70223,0.20063
Hospital,1.39944,0.39984
School,15.00000,6.80000
Other,0.54290,0.10590
Total,57.64427,20.11709
Municipal,25.48690,7.28197
Reg'l District,3.91461,1.11846
Hospital,1.46031,0.41723
School,15.00000,6.80000
Other,0.54290,0.10590
Total,46.40472,15.72356
Municipal,1.43330,1.43330
Reg'l District,1.63920,0.46840
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,20.95310,9.08280
Municipal,30.20290,7.68960
Reg'l District,2.19250,0.62650
Hospital,0.93730,0.26780
School,15.00000,6.80000
Other,0.54290,0.10590
Total,48.87560,15.48980
Municipal,26.26000,7.70000
Reg'l District,4.18650,1.19620
Hospital,1.22920,0.35120
School,15.00000,6.80000
Other,0.54290,0.10590
Total,47.21860,16.15330
Municipal,8.68000,0.00000
Reg'l District,1.89380,0.00000
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.10590
Total,28.45440,6.90590
Municipal,12.68880,1.52510
Reg'l District,0.34136,0.09753
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,3.41089,0.53261
Total,31.44105,8.95524
Municipal,40.00000,10.81290
Reg'l District,0.36460,0.10420
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,58.24520,18.09820
Municipal,34.22840,6.76570
Reg'l District,10.42120,2.97750
Hospital,1.38470,0.39560
School,15.00000,6.80000
Other,0.54290,0.10590
Total,61.57720,17.04470
Municipal,13.35330,13.13360
Reg'l District,4.11810,1.17660
Hospital,1.22920,0.35120
School,15.00000,6.80000
Other,0.54290,0.10590
Total,34.24350,21.56730
Municipal,15.86270,5.51230
Reg'l District,2.49120,0.86570
Hospital,1.38530,0.39580
School,15.00000,6.80000
Other,0.54290,0.10590
Total,35.28210,13.67970
Municipal,36.53110,0.00000
Reg'l District,4.48450,0.00000
Hospital,1.07510,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,57.63360,6.90590
Municipal,17.33820,3.46764
Reg'l District,3.03936,0.60787
Hospital,1.06331,0.30380
School,15.00000,6.80000
Other,1.41010,0.26650
Total,37.85097,11.44581
Municipal,40.00000,9.09760
Reg'l District,4.26490,1.21850
Hospital,1.22930,0.35120
School,15.00000,6.80000
Other,0.54290,0.10590
Total,61.03710,17.57320
Municipal,43.61130,0.00000
Reg'l District,8.71100,0.00000
Hospital,0.93270,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,68.79790,6.90590
Municipal,40.62134,11.60861
Reg'l District,1.76608,0.50459
Hospital,1.39934,0.39981
School,15.00000,6.80000
Other,2.98014,0.80225
Total,61.76690,20.11526
Municipal,39.67980,0.00000
Reg'l District,4.50870,0.00000
Hospital,1.22940,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.96080,6.90590
Municipal,14.75440,6.28336
Reg'l District,13.99676,3.99909
Hospital,0.93947,0.26842
School,15.00000,6.80000
Other,0.54290,0.10590
Total,45.23353,17.45677
Municipal,36.69130,58.55530
Reg'l District,1.74240,0.49780
Hospital,1.06220,0.30350
School,15.00000,6.80000
Other,1.41010,0.26650
Total,55.90600,66.42310
Municipal,30.71810,4.38830
Reg'l District,7.06860,1.00980
Hospital,1.38580,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,54.71540,12.69990
Municipal,48.32200,13.51870
Reg'l District,0.36680,0.10480
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,66.56940,20.80460
Municipal,41.83130,5.97590
Reg'l District,6.88170,0.98310
Hospital,1.38570,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,65.64160,14.26080
Municipal,67.37480,11.14070
Reg'l District,1.58320,0.26180
Hospital,1.15410,0.32970
School,15.00000,6.80000
Other,0.54290,0.10590
Total,85.65500,18.63810
Municipal,39.99990,6.91820
Reg'l District,8.61070,2.46020
Hospital,0.92660,0.26470
School,15.00000,6.80000
Other,0.54290,0.10590
Total,65.08010,16.54900
Municipal,39.98400,7.35000
Reg'l District,6.44920,1.17280
Hospital,1.38600,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,63.36210,15.82460
Municipal,60.34000,10.51000
Reg'l District,2.56900,0.73400
Hospital,0.92800,0.26500
School,15.00000,6.80000
Other,0.54290,0.10590
Total,79.37990,18.41490
Municipal,40.00000,12.29830
Reg'l District,0.35810,0.10230
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,8.02080,1.96150
Total,63.37890,21.16210
Municipal,37.94870,0.00000
Reg'l District,5.38220,0.00000
Hospital,1.28470,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.15850,6.90590
Municipal,22.75000,6.50000
Reg'l District,6.03390,1.72390
Hospital,1.15330,0.32950
School,15.00000,6.80000
Other,0.54290,0.10590
Total,45.48010,15.45930
Municipal,27.65120,4.60860
Reg'l District,4.92910,1.40830
Hospital,0.94030,0.26860
School,15.00000,6.80000
Other,0.54290,0.10590
Total,49.06350,13.19140
Municipal,34.92130,0.00000
Reg'l District,4.69279,0.00000
Hospital,1.06442,0.00000
School,15.00000,6.80000
Other,1.41010,0.10590
Total,57.08861,6.90590
Municipal,24.93723,5.27772
Reg'l District,6.72490,1.92140
Hospital,1.15464,0.32990
School,15.00000,6.80000
Other,0.54290,0.10590
Total,48.35967,14.43492
Municipal,16.39963,0.00000
Reg'l District,8.64623,0.00000
Hospital,0.43495,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,41.02371,6.90590
Municipal,41.43860,0.00000
Reg'l District,6.03050,0.00000
Hospital,1.38590,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,64.39790,6.90590
Municipal,40.00000,8.41100
Reg'l District,3.46610,0.99030
Hospital,0.93710,0.26770
School,15.00000,6.80000
Other,1.62090,0.41390
Total,61.02410,16.88290
Municipal,36.39500,0.00000
Reg'l District,5.39180,0.00000
Hospital,1.34120,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,58.67090,6.90590
Municipal,25.43164,5.65148
Reg'l District,13.78280,3.93790
Hospital,0.95399,0.27257
School,15.00000,6.80000
Other,0.54290,0.10590
Total,55.71133,16.76785
Municipal,16.81330,3.48740
Reg'l District,3.72390,1.06400
Hospital,0.48910,0.13970
School,15.00000,6.80000
Other,0.54290,0.10590
Total,36.56920,11.59700
Municipal,30.85190,0.00000
Reg'l District,0.55000,0.00000
Hospital,1.38320,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,48.32800,6.90590
Municipal,40.00000,0.00000
Reg'l District,2.20690,0.00000
Hospital,0.86350,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,58.61330,6.90590
Municipal,25.52210,6.07930
Reg'l District,8.86160,2.53190
Hospital,0.95400,0.27260
School,15.00000,6.80000
Other,0.54290,0.10590
Total,50.88060,15.78970
Municipal,104.50890,0.00000
Reg'l District,4.53790,0.00000
Hospital,1.73710,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,126.32680,6.90590
Municipal,31.41180,0.00000
Reg'l District,2.98515,0.00000
Hospital,0.95396,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,50.89381,6.90590
Municipal,14.45766,4.13076
Reg'l District,1.09714,0.31347
Hospital,1.49152,0.42615
School,15.00000,6.80000
Other,0.54290,0.10590
Total,32.58922,11.77628
Municipal,29.67620,0.00000
Reg'l District,7.88970,0.00000
Hospital,1.62090,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,54.72970,6.90590
Municipal,12.32910,12.32910
Reg'l District,1.64730,0.47066
Hospital,1.07055,0.30587
School,15.00000,6.80000
Other,1.41010,0.26650
Total,31.45705,20.17213
Municipal,39.96370,6.16720
Reg'l District,7.15270,1.10380
Hospital,1.37940,0.39410
School,15.00000,6.80000
Other,0.54290,0.10590
Total,64.03870,14.57100
Municipal,46.62500,7.10000
Reg'l District,4.50590,1.28740
Hospital,1.61390,0.46110
School,15.00000,6.80000
Other,0.54290,0.10590
Total,68.28770,15.75440
Municipal,25.00000,4.00000
Reg'l District,2.12230,0.60640
Hospital,0.93590,0.26740
School,15.00000,6.80000
Other,0.54290,0.10590
Total,43.60110,11.77970
Municipal,27.47198,0.90742
Reg'l District,2.97662,0.85046
Hospital,1.15310,0.32946
School,15.00000,6.80000
Other,0.54290,0.10590
Total,47.14460,8.99324
Municipal,49.19000,10.28000
Reg'l District,1.93940,0.55410
Hospital,1.23130,0.35180
School,15.00000,6.80000
Other,0.54290,0.10590
Total,67.90360,18.09180
Municipal,19.69400,4.23530
Reg'l District,5.34150,1.52614
Hospital,1.08785,0.30814
School,15.00000,6.80000
Other,0.54290,0.10590
Total,41.66625,12.97548
Municipal,24.78230,0.50000
Reg'l District,2.14280,0.61220
Hospital,1.21110,0.34600
School,15.00000,6.80000
Other,0.54290,0.10590
Total,43.67910,8.36410
Municipal,48.95000,10.40000
Reg'l District,2.20550,0.46860
Hospital,1.38450,0.39560
School,15.00000,6.80000
Other,0.54290,0.10590
Total,68.08290,18.17010
Municipal,16.91060,14.97230
Reg'l District,9.58300,2.74580
Hospital,2.18400,0.62400
School,15.00000,6.80000
Other,0.54290,0.10590
Total,44.22050,25.24800
Municipal,40.00000,0.00000
Reg'l District,3.89712,0.00000
Hospital,1.16540,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.60542,6.90590
Municipal,34.25980,122.82320
Reg'l District,0.61720,2.21130
Hospital,1.97440,0.56410
School,15.00000,6.80000
Other,1.69510,0.43510
Total,53.54650,132.83370
Municipal,48.15000,24.00000
Reg'l District,2.01940,0.57700
Hospital,1.28360,0.36680
School,15.00000,6.80000
Other,0.54290,0.10590
Total,66.99590,31.84970
Municipal,40.00000,0.77060
Reg'l District,2.09480,0.59850
Hospital,1.21380,0.34680
School,15.00000,6.80000
Other,0.54290,0.10590
Total,58.85150,8.62180
Municipal,46.82238,0.00000
Reg'l District,5.95592,0.00000
Hospital,1.20071,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,69.52191,6.90590
Municipal,24.89800,3.90250
Reg'l District,2.53540,0.72440
Hospital,1.06330,0.30380
School,15.00000,6.80000
Other,1.41010,0.26650
Total,44.90680,11.99720
Municipal,39.99990,5.20000
Reg'l District,0.36460,0.10417
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,58.24510,12.48527
Municipal,39.98028,7.56021
Reg'l District,0.36432,0.10409
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,58.22520,14.84540
Municipal,15.29460,2.63060
Reg'l District,3.86930,1.10550
Hospital,1.20070,0.34300
School,15.00000,6.80000
Other,0.54290,0.10590
Total,35.90750,10.98500
Municipal,17.44790,4.50850
Reg'l District,6.75360,1.92960
Hospital,1.16410,0.33260
School,15.00000,6.80000
Other,0.54290,0.10590
Total,40.90850,13.67660
Municipal,19.00000,9.50000
Reg'l District,0.35770,0.10220
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,37.23830,16.78330
Municipal,33.29160,5.54860
Reg'l District,8.73780,1.45630
Hospital,1.22920,0.35120
School,15.00000,6.80000
Other,0.54290,0.10590
Total,58.80150,14.26200
Municipal,30.91178,5.24198
Reg'l District,18.51997,5.29143
Hospital,0.93946,0.26842
School,15.00000,6.80000
Other,0.54290,0.10590
Total,65.91411,17.70773
Municipal,42.68400,0.00000
Reg'l District,4.93960,0.00000
Hospital,1.22960,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,64.39610,6.90590
Municipal,40.00000,9.15600
Reg'l District,2.88900,0.82600
Hospital,1.82000,0.52000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.25190,17.40790
Municipal,40.00000,16.18770
Reg'l District,0.36440,0.10410
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,58.24500,23.47290
Municipal,32.68590,0.00000
Reg'l District,3.07000,0.00000
Hospital,2.20500,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,53.50380,6.90590
Municipal,39.99970,6.92000
Reg'l District,17.09930,4.88550
Hospital,1.81650,0.51900
School,15.00000,6.80000
Other,0.54290,0.10590
Total,74.45840,19.23040
Municipal,37.92970,13.11320
Reg'l District,4.18580,1.19590
Hospital,1.22970,0.35140
School,15.00000,6.80000
Other,0.54290,0.10590
Total,58.88810,21.56640
Municipal,16.33210,6.79700
Reg'l District,1.81760,0.51930
Hospital,1.06230,0.30350
School,15.00000,6.80000
Other,1.41010,0.26650
Total,35.62210,14.68630
Municipal,21.64500,4.39500
Reg'l District,1.65270,0.47220
Hospital,0.95420,0.27260
School,15.00000,6.80000
Other,0.54290,0.10590
Total,39.79480,12.04570
Municipal,47.22480,15.87830
Reg'l District,1.84540,0.62040
Hospital,1.38320,0.39520
School,15.00000,6.80000
Other,0.54290,0.10590
Total,65.99630,23.79980
Municipal,14.04600,0.00000
Reg'l District,14.32110,0.00000
Hospital,0.95390,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,44.86390,6.90590
Municipal,30.91230,5.44230
Reg'l District,7.42140,2.12040
Hospital,1.07850,0.30810
School,15.00000,6.80000
Other,0.54290,0.10590
Total,54.95510,14.77670
Municipal,48.84870,0.50000
Reg'l District,5.53410,0.47410
Hospital,1.19390,0.34110
School,15.00000,6.80000
Other,0.54290,0.10590
Total,71.11960,8.22110
Municipal,38.13250,7.62650
Reg'l District,7.43160,2.12330
Hospital,1.07910,0.30830
School,15.00000,6.80000
Other,0.54290,0.10590
Total,62.18610,16.96400
Municipal,13.47650,2.69530
Reg'l District,4.60390,1.31540
Hospital,1.07840,0.30810
School,15.00000,6.80000
Other,0.54290,0.10590
Total,34.70170,11.22470
Municipal,40.26720,11.50490
Reg'l District,6.87120,1.96320
Hospital,1.97300,0.56370
School,15.00000,6.80000
Other,0.54290,0.10590
Total,64.65430,20.93770
Municipal,47.87810,5.33820
Reg'l District,0.36430,0.10410
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,66.12300,12.62340
Municipal,17.96060,10.16690
Reg'l District,2.31390,0.66110
Hospital,1.28540,0.36730
School,15.00000,6.80000
Other,0.54290,0.10590
Total,37.10280,18.10120
Municipal,19.01903,3.90134
Reg'l District,4.24475,0.87072
Hospital,1.06271,0.30363
School,15.00000,6.80000
Other,1.41010,0.26650
Total,40.73659,12.14219
Municipal,40.00000,0.00000
Reg'l District,0.36432,0.00000
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.10590
Total,58.24492,6.90590
Municipal,40.00000,0.00000
Reg'l District,1.10379,0.00000
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.10590
Total,58.98439,6.90590
Municipal,0.00000,"2,064.96879"
Reg'l District,0.00000,336.98780
Hospital,1.06330,0.30380
School,15.00000,6.80000
Other,1.41010,0.26650
Total,17.47340,"2,409.32689"
Municipal,11.93590,2.98400
Reg'l District,8.59890,2.28720
Hospital,2.25160,0.64330
School,15.00000,6.80000
Other,0.54290,0.10590
Total,38.32930,12.82040
Municipal,9.94220,2.84060
Reg'l District,4.07940,1.16550
Hospital,2.18400,0.62400
School,15.00000,6.80000
Other,0.54290,0.10590
Total,31.74850,11.53600
Municipal,28.05970,5.62320
Reg'l District,13.21370,2.64810
Hospital,1.20310,0.34360
School,15.00000,6.80000
Other,0.54290,0.10590
Total,58.01940,15.52080
Municipal,22.03360,5.50840
Reg'l District,2.64400,0.75540
Hospital,1.21330,0.34670
School,15.00000,6.80000
Other,0.54290,0.10590
Total,41.43380,13.51640
Municipal,6.06445,1.01074
Reg'l District,3.53759,0.58960
Hospital,0.34334,0.09810
School,15.00000,6.80000
Other,0.54290,0.10590
Total,25.48828,8.60434
Municipal,19.43430,6.47810
Reg'l District,1.86420,0.62140
Hospital,2.18440,0.62410
School,15.00000,6.80000
Other,0.54290,0.10590
Total,39.02580,14.62950
Municipal,46.21410,21.30910
Reg'l District,0.36580,0.10450
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,64.46050,28.59470
Municipal,71.38010,10.34490
Reg'l District,2.39600,0.68460
Hospital,2.83300,0.80940
School,15.00000,6.80000
Other,0.54290,0.10590
Total,92.15200,18.74480
Municipal,30.63377,0.00000
Reg'l District,3.91307,0.00000
Hospital,1.45961,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,51.54935,6.90590
Municipal,13.47320,6.73660
Reg'l District,2.09200,1.04600
Hospital,2.09493,0.59855
School,15.00000,6.80000
Other,0.54290,0.10590
Total,33.20303,15.28705
Municipal,45.19830,16.37970
Reg'l District,0.34050,0.09740
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,63.41940,23.65820
Municipal,40.00000,16.18350
Reg'l District,2.98740,0.85350
Hospital,2.12840,0.60810
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.65870,24.55100
Municipal,28.68870,0.00000
Reg'l District,3.48044,0.00000
Hospital,1.42429,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,49.13633,6.90590
Municipal,36.00000,4.60000
Reg'l District,6.35710,1.81630
Hospital,1.46410,0.41830
School,15.00000,6.80000
Other,0.54290,0.10590
Total,59.36410,13.74050
Municipal,37.61390,0.00000
Reg'l District,0.36440,0.00000
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.10590
Total,55.85890,6.90590
Municipal,47.20000,0.00000
Reg'l District,3.78390,0.00000
Hospital,0.95110,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,67.47790,6.90590
Municipal,39.93996,1.57784
Reg'l District,0.99771,0.28506
Hospital,3.19977,0.91422
School,15.00000,6.80000
Other,0.54290,0.10590
Total,59.68034,9.68302
Municipal,44.13544,3.81417
Reg'l District,3.40447,0.42223
Hospital,1.82278,0.52079
School,15.00000,6.80000
Other,0.54290,0.10590
Total,64.90559,11.66309
Municipal,88.49533,0.00000
Reg'l District,2.90263,0.00000
Hospital,2.09542,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,109.03628,6.90590
Municipal,40.30690,5.75811
Reg'l District,2.02750,0.57930
Hospital,2.18380,0.62400
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.06110,13.86731
Municipal,34.71000,8.90000
Reg'l District,17.43300,4.47000
Hospital,1.20050,0.34300
School,15.00000,6.80000
Other,0.54290,0.10590
Total,68.88640,20.61890
Municipal,38.33694,5.17504
Reg'l District,8.69981,1.50383
Hospital,2.67777,0.76508
School,15.00000,6.80000
Other,1.08273,0.17877
Total,65.79725,14.42272
Municipal,22.51680,0.00000
Reg'l District,2.95050,0.00000
Hospital,1.15510,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,42.16530,6.90590
Municipal,64.05480,0.00000
Reg'l District,1.84000,0.00000
Hospital,0.90170,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,82.33940,6.90590
Municipal,40.00000,8.03856
Reg'l District,0.34042,0.09726
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,58.22102,15.31692
Municipal,22.79450,13.67670
Reg'l District,14.57510,4.16430
Hospital,0.95390,0.27260
School,15.00000,6.80000
Other,0.54290,0.10590
Total,53.86640,25.01950
Municipal,34.35110,7.50750
Reg'l District,3.18040,0.69510
Hospital,1.06330,0.30380
School,15.00000,6.80000
Other,1.41010,0.26650
Total,55.00490,15.57290
Municipal,38.01590,0.00000
Reg'l District,7.41540,0.00000
Hospital,1.07850,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,62.05270,6.90590
Municipal,35.74500,10.82140
Reg'l District,1.12210,0.32060
Hospital,0.90250,0.25790
School,15.00000,6.80000
Other,0.54290,0.10590
Total,53.31250,18.30580
Municipal,28.18900,8.05400
Reg'l District,0.52640,0.15040
Hospital,1.38600,0.39600
School,15.00000,6.80000
Other,0.54290,0.10590
Total,45.64430,15.50630
Municipal,22.00629,5.81819
Reg'l District,2.18650,0.62471
Hospital,0.48910,0.13974
School,15.00000,6.80000
Other,2.30378,0.60901
Total,41.98567,13.99165
Municipal,23.80000,3.68000
Reg'l District,2.46300,0.70370
Hospital,0.48913,0.13975
School,15.00000,6.80000
Other,0.54290,0.10590
Total,42.29503,11.42935
Municipal,34.00840,7.16260
Reg'l District,2.99320,0.85520
Hospital,0.89550,0.25590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,53.44000,15.17960
Municipal,19.10650,4.34440
Reg'l District,2.92420,0.66490
Hospital,1.06700,0.30490
School,15.00000,6.80000
Other,1.41010,0.26650
Total,39.50780,12.38070
Municipal,13.12040,3.74870
Reg'l District,4.80980,1.09410
Hospital,1.06260,0.30690
School,15.00000,6.80000
Other,0.54290,0.10590
Total,34.53570,12.05560
Municipal,43.20000,2.90000
Reg'l District,7.22120,2.06320
Hospital,1.07830,0.30810
School,15.00000,6.80000
Other,0.54290,0.10590
Total,67.04240,12.17720
Municipal,52.77545,6.72306
Reg'l District,6.04746,1.72785
Hospital,1.62261,0.46360
School,15.00000,6.80000
Other,0.54290,0.10590
Total,75.98842,15.82041
Municipal,20.02150,3.34700
Reg'l District,9.71210,1.62350
Hospital,1.06220,0.30350
School,15.00000,6.80000
Other,1.41010,0.26650
Total,47.20590,12.34050
Municipal,34.85840,4.57020
Reg'l District,2.35760,0.67360
Hospital,0.94780,0.27080
School,15.00000,6.80000
Other,0.54290,0.10590
Total,53.70670,12.42050
Municipal,30.46880,4.97450
Reg'l District,1.95130,0.55750
Hospital,1.15430,0.32980
School,15.00000,6.80000
Other,0.54290,0.10590
Total,49.11730,12.76770
Municipal,40.00000,76.00737
Reg'l District,1.78209,0.50917
Hospital,0.34238,0.09782
School,15.00000,6.80000
Other,0.54290,0.10590
Total,57.66737,83.52026
Municipal,37.45370,0.00000
Reg'l District,1.03180,0.00000
Hospital,1.98420,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,56.01260,6.90590
Municipal,26.48340,9.82020
Reg'l District,1.82290,0.52080
Hospital,2.18400,0.62400
School,15.00000,6.80000
Other,0.54290,0.10590
Total,46.03320,17.87090
Municipal,34.66461,3.31897
Reg'l District,0.34041,0.09726
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,52.88562,10.59733
Municipal,28.48860,0.00000
Reg'l District,0.50410,0.00000
Hospital,1.38580,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,45.92140,7.30180
Municipal,38.94300,4.33000
Reg'l District,2.30900,0.65970
Hospital,0.93730,0.26780
School,15.00000,6.80000
Other,0.54290,0.10590
Total,57.73220,12.16340
Municipal,26.96000,6.13590
Reg'l District,5.74260,1.64506
Hospital,1.61003,0.46001
School,15.00000,6.80000
Other,0.54290,0.10590
Total,49.85553,15.14687
Municipal,66.94190,25.79710
Reg'l District,0.75130,0.21470
Hospital,1.95850,0.55960
School,15.00000,6.80000
Other,1.06000,0.25360
Total,85.71170,33.62500
Municipal,9.71700,2.71800
Reg'l District,1.71010,0.48860
Hospital,2.82530,0.80720
School,15.00000,6.80000
Other,0.54290,0.10590
Total,29.79530,10.91970
Municipal,40.00000,0.00000
Reg'l District,16.50110,0.00000
Hospital,0.95450,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,72.99850,6.90590
Municipal,32.73160,16.36580
Reg'l District,1.91820,0.54800
Hospital,0.92790,0.26510
School,15.00000,6.80000
Other,0.54290,0.10590
Total,51.12060,24.08480
Municipal,38.66576,0.00000
Reg'l District,3.64585,0.00000
Hospital,2.82503,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,60.67954,6.90590
Municipal,16.82440,0.00000
Reg'l District,13.52090,0.00000
Hospital,1.82040,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,47.70860,6.90590
Municipal,32.99546,2.87891
Reg'l District,0.38458,0.10988
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.38110
Total,51.26064,10.16989
Municipal,25.65680,1.50310
Reg'l District,4.36940,1.24840
Hospital,1.38570,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,46.95480,10.05330
Municipal,10.44150,0.56420
Reg'l District,10.76600,3.58860
Hospital,0.93970,0.26850
School,15.00000,6.80000
Other,4.31210,1.72360
Total,41.45930,12.94490
Municipal,28.62510,0.00000
Reg'l District,3.31290,0.00000
Hospital,1.06010,0.00000
School,15.00000,6.80000
Other,1.41010,0.10590
Total,49.40820,6.90590
Municipal,30.54820,42.94500
Reg'l District,3.69540,5.19510
Hospital,1.06220,0.30350
School,15.00000,6.80000
Other,1.41010,0.26650
Total,51.71590,55.51010
Municipal,13.64180,0.00000
Reg'l District,14.51150,0.00000
Hospital,0.95390,0.00000
School,15.00000,6.80000
Other,0.54290,0.10590
Total,44.65010,6.90590
Municipal,20.95220,2.99320
Reg'l District,6.72040,1.92010
Hospital,2.78180,0.79480
School,15.00000,6.80000
Other,0.54290,0.10590
Total,45.99730,12.61400
Municipal,14.75270,0.00000
Reg'l District,0.36430,0.00000
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.10590
Total,32.99760,6.90590
Municipal,13.30300,3.01460
Reg'l District,0.39700,0.09000
Hospital,0.34200,0.09770
School,15.00000,6.80000
Other,0.54290,0.10590
Total,29.58490,10.10820
Municipal,34.49660,0.00000
Reg'l District,0.36432,0.00000
Hospital,0.00000,0.00000
School,15.00000,6.80000
Other,2.88060,0.10590
Total,52.74152,6.90590
Municipal,40.00000,14.78651
Reg'l District,8.27050,2.84187
Hospital,2.67259,0.76360
School,15.00000,6.80000
Other,1.08329,0.26030
Total,67.02638,25.45228
Municipal,33.08300,9.45200
Reg'l District,0.47950,0.13700
Hospital,1.38580,0.39590
School,15.00000,6.80000
Other,0.54290,0.10590
Total,50.49120,16.89080
,,