Applied to School Tax,Applied to Other Tax
"76,462","30,725"
"5,930,000",0
"30,075",0
"15,059",0
"279,494","86,181"
"125,665","43,920"
0,0
"127,211","12,739"
"8,168,979","915,288"
"48,042","15,911"
"57,998","17,554"
"1,089,378","351,330"
"423,888","68,942"
"1,050,092","92,907"
"184,684","90,934"
"49,865","15,491"
"3,268,175","698,274"
"28,965","22,223"
"955,164","9,133"
"632,110","33,055"
"854,307","187,523"
"3,932,172","483,178"
"1,103,375","404,155"
"805,809","336,969"
"403,837","193,308"
"80,765","59,973"
"378,507","121,143"
"4,166,562","329,713"
"289,368","155,069"
"25,184","16,373"
"190,608","99,212"
"735,054","58,114"
"188,694","19,466"
"38,674","6,742"
"47,221","15,020"
"282,262","58,570"
"29,133","18,668"
"66,653","34,562"
"285,082","86,363"
"47,609","10,614"
"116,945","29,565"
"260,774","141,849"
"50,874",0
"39,436","36,402"
"138,633","7,974"
"8,737","4,278"
"54,932",960
"379,135","103,868"
"67,115","30,704"
"30,418","18,382"
"139,503","25,931"
"3,463,701","808,880"
"67,081","26,441"
"5,955,614","1,594,571"
"331,539","29,814"
"142,338","63,653"
"267,108","277,385"
"254,265","128,098"
"423,991","139,531"
"423,416","83,727"
"124,122","71,688"
"705,915","103,870"
"911,309","298,962"
"3,567,000","502,000"
"239,211","8,705"
"114,856","28,409"
"56,005",0
"109,853","105,397"
"124,721","12,068"
"12,463","7,557"
"43,277","19,234"
"2,445,925","433,096"
"20,150","13,521"
"13,157","16,960"
"313,332","118,594"
"229,832","12,623"
"35,604","26,431"
"1,136,112","202,920"
"64,367","21,308"
"97,681","29,651"
"4,030,587","1,112,559"
"483,737","72,278"
"45,494",0
"16,161","11,250"
"2,125,411","486,076"
"1,549,710","334,365"
"854,817","16,511"
"1,771,984","269,574"
"4,116,495","221,047"
"1,599,259","88,279"
"432,818","118,764"
"605,078","79,686"
"1,053,441","362,060"
"460,774","68,382"
"14,307","1,080"
"2,225,477","616,080"
"563,624","125,446"
"799,299","471,803"
"65,679",485
"8,218","8,991"
"1,451,442","193,855"
"17,522","10,606"
"81,806","19,060"
"42,892","6,699"
"724,220","43,514"
"21,329","14,294"
"745,419","327,614"
"1,800,471","560,967"
"341,414","130,728"
"159,053","77,044"
"1,134,826","125,882"
"328,255","130,152"
"26,239","48,021"
"288,445","90,112"
"14,798,232",0
"114,896","45,662"
"7,251,394","697,798"
"40,081","38,757"
"1,013,299","260,711"
"12,336","12,562"
"689,387","169,248"
"57,372","28,089"
"188,058","68,130"
"1,242,845","316,881"
"25,114",0
"10,545","9,031"
"158,929","31,750"
"369,957","87,111"
"246,952","43,623"
"94,703","40,022"
"394,545","97,189"
"6,829","16,533"
"976,071","195,746"
"12,875,958","1,868,087"
"7,935","8,889"
"19,361","13,412"
"30,098","10,132"
"335,054","69,994"
"34,194","3,780"
"465,896","325,160"
"142,902","64,395"
"45,841","7,486"
"37,936","28,215"
"17,343,192","1,252,720"
"149,092","31,526"
"2,085,525","649,256"
"3,501,127","746,941"
"532,215",0
"133,599",0
"5,530","5,279"
"1,871,206","144,051"
"30,155","1,403"
"1,486,057","416,220"
"425,343",0
"4,726","1,736"
"158,712,819","24,835,138"