Individual_ID,Temperature,Black_locus
S0084,82,0
S0085,84,0
S0086,84,0
S0088,84,0
S0089,84,1
S0090,84,0
S0091,84,0
S0092,84,0
S0093,84,0
S0094,84,0
S0095,84,0
S0096,84,0
S0097,84,0
S0098,84,0
S0100,84,0
S0101,85,0
S0102,85,0
S0104,85,0
S0105,85,0
S0106,85,1
S0107,85,0
S0108,85,0
S0109,85,0
S0111,85,0
S0112,84,0
S0113,85,0
S0114,84,0
S0115,84,0
S0116,85,0
S0117,85,0
S0118,85,0
S0119,85,0
S0121,85,0
S0123,84,0
S0124,84,0
S0125,84,0
S0126,84,0
S0127,82,0
S0128,84,0
S0129,84,0
S0130,84,0
S0131,84,0
S0132,84,0
S0133,84,0
S0134,84,0
S0135,84,0
S0136,84,0
S0137,84,0
S0138,84,0
S0139,84,0
S0140,84,0
S0141,84,0
S0142,84,0
S0143,84,0
S0146,83,0
S0147,80,0
S0148,80,0
S0149,80,0
S0150,80,0
S0151,80,0
S0152,80,0
S0153,81,0
S0154,80,0
S0155,80,0
S0157,81,0
S0158,80,0
S0159,80,0
S0160,80,0
S0162,80,0
S0163,79,0
S0164,80,0
S0165,87,1
S0166,87,1
S0167,87,0
S0168,87,0
S0169,87,0
S0170,87,0
S0171,88,0
S0172,88,0
S0173,88,0
S0174,89,0
S0175,89,0
S0178,91,0
S0179,91,0
S0180,91,0
S0181,89,0
S0182,89,0
S0183,90,0
S0184,90,0
S0185,89,1
S0187,85,0
S0188,85,0
S0189,85,0
S0190,84,1
S0191,84,1
S0192,79,0
S0193,79,0
S0194,79,0