Fund,"5,386,759","1,675,680"
General Operating,"888,517","217,002"
General Operating,"1,961,771","188,568"
General Operating,"1,915,944","1,240,041"
General Operating,"769,525","517,078"
General Operating,"20,658","16,465"
General Operating,"1,126,108","720,397"
General Operating,"822,616","119,912"
General Operating,"819,019","83,637"
General Operating,"666,699","84,799"
General Operating,"22,875","9,491"
General Operating,"1,525,484","137,340"
General Operating,"3,509,267","115,733"
General Operating,"1,486,232","100,773"
General Operating,"9,803,703","6,607,384"
General Operating,"1,354,816","97,428"
General Operating,"439,017","4,682,344"
General Operating,"3,037,952","626,536"
General Operating,"3,445,426","31,019"
General Operating,"7,368,551","433,037"
General Operating,"1,713,618","392,156"
General Operating,"4,145,210","4,113,675"
General Operating,0,"40,774"
General Operating,"410,559","200,922"
General Operating,"2,559,031","365,081"
General Operating,209,"54,630"
General Operating,"46,583,752","2,165,886"
General Operating,"549,878","537,181"
General Operating,"1,164,751","249,118"
General Operating,"2,667,191","1,078,227"
General Operating,"767,736","116,610"
General Operating,"4,036,749","2,343,980"
General Operating,"8,450,026","3,060"
General Operating,"1,351,792","111,155"
General Operating,"9,752,784","1,397,854"
General Operating,0,"121,149,330"
General Operating,"2,501,400","1,285,506"
General Operating,"3,632,117","1,655,698"
General Operating,"2,758,049","1,719,612"
General Operating,"12,920,436","3,928,525"
General Operating,"1,527,904","306,056"
General Operating,"1,434,038","437,891"
General Operating,"14,927,957","3,784,962"
General Operating,"1,403,837","736,249"
General Operating,0,"972,081"
General Operating,"13,539,334","17,110,142"
General Operating,"24,602,919","5,792,880"
General Operating,"7,066,276","429,584"
General Operating,"3,041,195","1,036,000"
General Operating,"2,119,221","2,003,214"
General Operating,0,"24,117,720"
General Operating,"5,082,107","19,415,681"
General Operating,"626,275","663,553"
General Operating,"371,855","254,191"
General Operating,0,"49,156,646"
General Operating,0,"41,091,302"
Solid Waste Operating,0,"6,163,929"
Transportation Operating,"857,850","282,872"
Parking Operating,"12,423,782","2,705,066"