Offence Category,,,2006,,,,,,,,,,2016
Violent Criminal Code Violation,,,15,,,,,,,,,,3
Violent Criminal Code Violation,,,43,,,,,,,,,,27
Violent Criminal Code Violation,,,7,,,,,,,,,,7
Violent Criminal Code Violation,,,1,,,,,,,,,,0
Violent Criminal Code Violation,,,6,,,,,,,,,,14
Violent Criminal Code Violation,,,0,,,,,,,,,,1
Violent Criminal Code Violation,,,62,,,,,,,,,,58
Violent Criminal Code Violation,,,14,,,,,,,,,,13
Violent Criminal Code Violation,,,18,,,,,,,,,,25
Violent Criminal Code Violation,,,1211,,,,,,,,,,1060
Violent Criminal Code Violation,,,1,,,,,,,,,,30
Violent Criminal Code Violation,,,0,,,,,,,,,,14
Violent Criminal Code Violation,,,1,,,,,,,,,,38
Violent Criminal Code Violation,,,222,,,,,,,,,,251
Violent Criminal Code Violation,,,3388,,,,,,,,,,3502
Violent Criminal Code Violation,,,11825,,,,,,,,,,10210
Violent Criminal Code Violation,,,880,,,,,,,,,,977
Violent Criminal Code Violation,,,20,,,,,,,,,,2
Violent Criminal Code Violation,,,7,,,,,,,,,,15
Violent Criminal Code Violation,,,88,,,,,,,,,,51
Violent Criminal Code Violation,,,5,,,,,,,,,,20
Violent Criminal Code Violation,,,14,,,,,,,,,,15
Violent Criminal Code Violation,,,53,,,,,,,,,,60
Violent Criminal Code Violation,,,1515,,,,,,,,,,1107
Violent Criminal Code Violation,,,220,,,,,,,,,,1
Violent Criminal Code Violation,,,4,,,,,,,,,,6
Violent Criminal Code Violation,,,2,,,,,,,,,,1
Violent Criminal Code Violation,,,0,,,,,,,,,,1
Violent Criminal Code Violation,,,13,,,,,,,,,,6
Violent Criminal Code Violation,,,3,,,,,,,,,,3
Violent Criminal Code Violation,,,68,,,,,,,,,,68
Violent Criminal Code Violation,,,762,,,,,,,,,,584
Violent Criminal Code Violation,,,2987,,,,,,,,,,2887
Violent Criminal Code Violation,,,59,,,,,,,,,,106
Violent Criminal Code Violation,,,1,,,,,,,,,,12
Violent Criminal Code Violation,,,177,,,,,,,,,,0
Violent Criminal Code Violation,,,0,,,,,,,,,,1
Violent Criminal Code Violation,,,10,,,,,,,,,,52
Violent Criminal Code Violation,,,0,,,,,,,,,,0
Violent Criminal Code Violation,,,1,,,,,,,,,,4
Violent Criminal Code Violation,,,5,,,,,,,,,,17
Violent Criminal Code Violation,,,0,,,,,,,,,,0
Violent Criminal Code Violation,,,28,,,,,,,,,,39
Violent Criminal Code Violation,,,12,,,,,,,,,,7
Total Property Crime Violations,,,2595,,,,,,,,,,2066
Total Property Crime Violations,,,3008,,,,,,,,,,1317
Total Property Crime Violations,,,971,,,,,,,,,,542
Total Property Crime Violations,,,162,,,,,,,,,,91
Total Property Crime Violations,,,14,,,,,,,,,,12
Total Property Crime Violations,,,14,,,,,,,,,,17
Total Property Crime Violations,,,1857,,,,,,,,,,1012
Total Property Crime Violations,,,546,,,,,,,,,,310
Total Property Crime Violations,,,7777,,,,,,,,,,6192
Total Property Crime Violations,,,2212,,,,,,,,,,1637
Total Property Crime Violations,,,1963,,,,,,,,,,1559
Total Property Crime Violations,,,93,,,,,,,,,,96
Total Other Criminal Code violations,,,125,,,,,,,,,,101
Total Other Criminal Code violations,,,13,,,,,,,,,,4
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,1,,,,,,,,,,1
Total Other Criminal Code violations,,,48,,,,,,,,,,88
Total Other Criminal Code violations,,,1136,,,,,,,,,,837
Total Other Criminal Code violations,,,0,,,,,,,,,,1
Total Other Criminal Code violations,,,13,,,,,,,,,,0
Total Other Criminal Code violations,,,163,,,,,,,,,,55
Total Other Criminal Code violations,,,88,,,,,,,,,,107
Total Other Criminal Code violations,,,5,,,,,,,,,,0
Total Other Criminal Code violations,,,1,,,,,,,,,,0
Total Other Criminal Code violations,,,13,,,,,,,,,,0
Total Other Criminal Code violations,,,5,,,,,,,,,,0
Total Other Criminal Code violations,,,294,,,,,,,,,,0
Total Other Criminal Code violations,,,659,,,,,,,,,,822
Total Other Criminal Code violations,,,6143,,,,,,,,,,8535
Total Other Criminal Code violations,,,121,,,,,,,,,,37
Total Other Criminal Code violations,,,130,,,,,,,,,,91
Total Other Criminal Code violations,,,1316,,,,,,,,,,599
Total Other Criminal Code violations,,,3846,,,,,,,,,,5905
Total Other Criminal Code violations,,,254,,,,,,,,,,267
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,1,,,,,,,,,,0
Total Other Criminal Code violations,,,1,,,,,,,,,,1
Total Other Criminal Code violations,,,137,,,,,,,,,,157
Total Other Criminal Code violations,,,5,,,,,,,,,,0
Total Other Criminal Code violations,,,1005,,,,,,,,,,742
Total Other Criminal Code violations,,,66,,,,,,,,,,27
Total Other Criminal Code violations,,,14,,,,,,,,,,6
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,1,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,1,,,,,,,,,,0
Total Other Criminal Code violations,,,85,,,,,,,,,,40
Total Other Criminal Code violations,,,1,,,,,,,,,,3
Total Other Criminal Code violations,,,1,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,22,,,,,,,,,,5
Total Other Criminal Code violations,,,346,,,,,,,,,,519
Total Other Criminal Code violations,,,2,,,,,,,,,,0
Total Other Criminal Code violations,,,11,,,,,,,,,,20
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,6,,,,,,,,,,5
Total Other Criminal Code violations,,,12,,,,,,,,,,3
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,0,,,,,,,,,,0
Total Other Criminal Code violations,,,85,,,,,,,,,,116