DISTRICT_NAME,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST
Surrey,5282,1104
Surrey,5399,1570
Surrey,5536,1806
Surrey,5556,1914
Surrey,5853,2080
Surrey,6084,2136
Surrey,6752,2248
Surrey,7097,2416
Surrey,7011,2254
Surrey,7037,2348
Surrey,8216,2840
Surrey,9,3
Surrey,10,3
Surrey,10,8
Surrey,9,8
Surrey,9,9
Surrey,9,9
Surrey,9,9
Surrey,10,10
Surrey,10,10
Surrey,10,5
Surrey,10,8
Surrey,7,2
Surrey,6,5
Surrey,6,5
Surrey,5,5
Surrey,6,6
Surrey,6,6
Surrey,5,5
Surrey,5,5
Surrey,5,5
Surrey,5,5
Surrey,5,5
Surrey,12,3
Surrey,13,9
Surrey,13,8
Surrey,14,8
Surrey,14,10
Surrey,14,12
Surrey,14,8
Surrey,14,11
Surrey,13,11
Surrey,13,11
Surrey,12,10
Surrey,18,12
Surrey,19,13
Surrey,19,10
Surrey,20,13
Surrey,19,13
Surrey,17,9
Surrey,19,9
Surrey,20,19
Surrey,20,10
Surrey,20,10
Surrey,20,20
Surrey,11,4
Surrey,12,6
Surrey,11,5
Surrey,12,3
Surrey,11,10
Surrey,10,7
Surrey,10,1
Surrey,10,4
Surrey,10,4
Surrey,10,5
Surrey,10,9
Surrey,6,2
Surrey,6,3
Surrey,6,6
Surrey,6,4
Surrey,7,7
Surrey,7,6
Surrey,9,9
Surrey,9,8
Surrey,9,9
Surrey,11,7
Surrey,10,7
Surrey,4,2
Surrey,4,2
Surrey,4,4
Surrey,4,4
Surrey,3,3
Surrey,3,3
Surrey,3,3
Surrey,3,1
Surrey,3,2
Surrey,3,2
Surrey,2,1
Surrey,6,2
Surrey,5,3
Surrey,6,5
Surrey,5,4
Surrey,4,2
Surrey,4,4
Surrey,4,4
Surrey,4,1
Surrey,5,3
Surrey,5,2
Surrey,6,3